pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category,bibtex_url
2009-12-26,A general perfectly matched layer model for hyperbolic-parabolic systems,SIAM Journal on Scientific Computing,,"D. Appelö and T. Hagstrom. SIAM Journal on Scientific Computing, 31(5):3301-3323, 2009.",general-pml-hyperbolic-parabolic,,,manuscripts,
2008-12-28,On cylindrically converging shock waves shaped by obstacles,Physica D: Nonlinear Phenomena,,"V. Eliasson, W. D. Henshaw and D. Appelö. Physica D: Nonlinear Phenomena, 237(14-17):2203-2209, 2008.",cylindrically-converging-shock-waves,,,manuscripts,
2007-12-28,Application of a perfectly matched layer to the nonlinear wave equation,Wave Motion,,"D. Appelö and G. Kreiss. Wave Motion, 44(7-8):531-548, 2007.",pml-nonlinear-wave-equation,,,manuscripts,
2007-12-27,Automatic symmetrization and energy estimates using local operators for partial differential equations,Communications in Partial Differential Equations,,"T. Hagstrom and D. Appelö. Communications in Partial Differential Equations, 32(7):1129-1145, 2007.",automatic-symmetrization-energy-estimates,,,manuscripts,
2006-12-28,"Perfectly matched layers for hyperbolic systems: General formulation, well-posedness, and stability",SIAM Journal on Applied Mathematics,,"D. Appelö, T. Hagstrom and G. Kreiss. SIAM Journal on Applied Mathematics, 67(1):1-23, 2006.",pml-hyperbolic-systems-general-formulation,,,manuscripts,
2006-12-27,A new absorbing layer for elastic waves,Journal of Computational Physics,,"D. Appelö and G. Kreiss. Journal of Computational Physics, 215(2):642-660, 2006.",new-absorbing-layer-elastic-waves,,,manuscripts,
2018-12-24,"HPS accelerated spectral solvers for time dependent problems: Part 1, algorithms","Proceedings of Spectral and High Order Methods for PDEs, ICOSAHOM 2018",,"T. Babb, P.-G. Martinsson and D. Appelö. In Proceedings of Spectral and High Order Methods for Partial Differential Equations, ICOSAHOM 2018.",hps-spectral-solvers-part-i,https://arxiv.org/abs/1811.04555,,conferences,
2018-12-23,"HPS accelerated spectral solvers for time dependent problems: Part 2, numerical experiments","Proceedings of Spectral and High Order Methods for PDEs, ICOSAHOM 2018",,"T. Babb, P.-G. Martinsson and D. Appelö. In Proceedings of Spectral and High Order Methods for Partial Differential Equations, ICOSAHOM 2018.",hps-spectral-solvers-part-ii,https://arxiv.org/abs/1811.04555,,conferences,
2019-12-23,WaveHoltz: Parallel and scalable solution of the Helmholtz equation,SEG Technical Program Expanded Abstracts,,"D. Appelö, F. Garcia and O. Runborg. Pages 1541-1545, 2019.",waveholtz-parallel-scalable,,,conferences,
2019-12-22,Energy stable staggered high order finite differences for optical media,2019 International Applied Computational Electromagnetics Society Symposium (ACES),,"D. Appelö, V. Bokil, Y. Cheng and F. Li. In 2019 International Applied Computational Electromagnetics Society Symposium (ACES), pages 1-2, April 2019.",energy-stable-staggered-optical-media,,,conferences,
